id,uniq_id,date_time,action_id,customer_id,quantity
1,65e2cb90b603176dcabe4d1168010603,2022-11-09T00:00:00,2,580,19
2,bac452e0dd4a9b365328d6999c22d37b,2022-11-09T00:00:00,2,711,5
3,c47555c9c2b28fb580c04b996a97f042,2022-11-09T00:00:00,3,220,15
4,45103f8ffbe8c29dd18a69bdf90a3db6,2022-11-09T00:00:00,3,320,11
5,aef51564afde2d5629966baa069602f5,2022-11-09T00:00:00,2,191,22
6,ef8d2dcd549a25d65de46f9270d56a00,2022-11-09T00:00:00,2,410,11
7,1b82f9e10ab5d6213c142198d1dffc90,2022-11-09T00:00:00,1,411,18
8,0c2d2b47adefa80073af3679c02ba464,2022-11-09T00:00:00,0,791,2
9,89ea627f8156d06e3eaa38374e9d0539,2022-11-10T00:00:00,3,120,10
10,2bbba88d029f6e5440872ba103b00247,2022-11-10T00:00:00,1,940,12
11,915926bae75b6db7bc17f376ac52ef85,2022-11-10T00:00:00,3,71,14
12,e81c7c97e4fe4e8e649632ea28835e75,2022-11-10T00:00:00,1,441,12
13,5cab5e4a92f3683f5651346eada61314,2022-11-10T00:00:00,1,881,7
14,d1db88cfab467b83952993e97662b93a,2022-11-10T00:00:00,1,931,9
15,e4591b7905e9d2d538dfceb638a235f6,2022-11-10T00:00:00,0,680,16
16,a15a8f6be697ab12d9af4e350ee61ce1,2022-11-10T00:00:00,2,440,20
17,a2a6533b223939812c5514bba62f0cb7,2022-11-10T00:00:00,1,731,14
18,506878c1fc1a48e30aeb015ba65c6d8a,2022-11-10T00:00:00,3,281,3
19,a5dad43218e1d82698fae55b694766c0,2022-11-10T00:00:00,0,310,10
20,e6759552dce1a0bfe5e69bba0260043b,2022-11-11T00:00:00,0,250,11
21,859941f7d6124bc3b40a9ecbabe0212f,2022-11-11T00:00:00,2,671,15
22,81250897e3db7ee634c75beff6df1848,2022-11-11T00:00:00,1,231,15
23,bfaa7be000019b619f39a218868e6117,2022-11-11T00:00:00,1,360,21
24,2a82683d5494e27f1007e98a639ba4e2,2022-11-11T00:00:00,3,661,12
25,3b70b11a84a0231d9695d5b011b5a3e5,2022-11-11T00:00:00,2,371,5
26,3a587f2a48f4b0704ddc774ce4bacd66,2022-11-11T00:00:00,2,221,7
27,cc6b7b07299d810bd9cdbdc872d9da6b,2022-11-11T00:00:00,0,351,19
28,3727e27b01bea67cb724203b4ed018c7,2022-11-12T00:00:00,3,801,20
29,6c4a68698ce7f283f1a2ad6ed437a596,2022-11-12T00:00:00,0,961,10
30,877bb53c237eadb36c7e18a899cbc3d7,2022-11-12T00:00:00,1,881,8
31,e3c0d9d9998ea4cd7f018052f27c7541,2022-11-12T00:00:00,0,480,22
32,05dd514f8fe4c8f81556882c39b687d5,2022-11-12T00:00:00,2,390,16
33,ffdcf23555cec1a5f4577c2339a1fb08,2022-11-12T00:00:00,1,960,6
34,9c755fc9f3f20abf2897c0ebc5a2be1c,2022-11-12T00:00:00,3,100,2
35,f40dc5a1d5bce92646e7436528d1b6a6,2022-11-12T00:00:00,0,411,23
36,04619b06b41cc678a69d56dc90f2a8aa,2022-11-12T00:00:00,1,461,23
37,4cb5e6f99f03a079d11cfd1dfa0b1c00,2022-11-12T00:00:00,2,110,23
38,e327a93bedb16bc04354112cc4756acd,2022-11-12T00:00:00,0,800,22
39,68589b3807f2a4ab786fccb832216ff9,2022-11-12T00:00:00,1,490,10
40,2ad40fd1943455485c6cd1a922f51677,2022-11-12T00:00:00,2,281,11
41,b0f1454490a88c837aab1417247e64db,2022-11-12T00:00:00,3,90,8
42,f0c8f14e2b13761d4ffc283a02faf918,2022-11-12T00:00:00,2,181,15
43,9ddcef6b51ad144689fb537e673e45c2,2022-11-12T00:00:00,1,851,3
44,0bcf9afd9109bf5bdc0a9c8552ef764e,2022-11-13T00:00:00,1,111,22
45,5efd3a03acd6dfeec386e68680940c7e,2022-11-13T00:00:00,0,961,7
46,3f608952eaecd7442860d11f35498428,2022-11-13T00:00:00,2,710,10
47,c296be404035c7bc15deccb073b36a0f,2022-11-13T00:00:00,2,991,17
48,126c2e9718416436d8557ae62d73323d,2022-11-13T00:00:00,1,231,22
49,57d12a46fdfde1cce3976b852d494f88,2022-11-13T00:00:00,0,561,11
50,74cb12e620ad9a0d140da9f60658f0f0,2022-11-13T00:00:00,3,180,17
51,b3e87c82e823101517af783217c8a673,2022-11-13T00:00:00,1,430,5
52,6af0239a998923e3584f10af5dfed224,2022-11-13T00:00:00,1,291,7
53,74bffbee99558be4bc4561ce9d2b248d,2022-11-14T00:00:00,0,960,7
54,d8275fa0174e8e9e4a9f68aaf02db46d,2022-11-14T00:00:00,1,611,18
55,52fc686f6b6a626968d1cecc59fa081f,2022-11-16T00:00:00,3,831,23
56,8b707a37d5a2b342fe4bc28b5c559a6a,2022-11-17T00:00:00,0,681,9
57,4f87db0875959458f80b79857719799b,2022-11-17T00:00:00,2,50,13
58,0273d12881567cded40b46955b07fd4a,2022-11-17T00:00:00,3,910,20
59,65a3a412d4a7850dd85dfd037ea37b1b,2022-11-17T00:00:00,0,951,16
60,7f553228fcc9492de58d28e76c72f824,2022-11-17T00:00:00,2,870,13
61,16c8035fa6345452dd1a16ad4cb9f322,2022-11-17T00:00:00,0,140,15
62,22d86c793f9a42b9b12dae571b396088,2022-11-17T00:00:00,1,681,10
63,0f39c5cf0d8e6bc549bdf37eeba23d00,2022-11-17T00:00:00,0,410,7
64,68ab134f0b9a6b413ac1986549d48e18,2022-11-17T00:00:00,2,801,3
65,a80952d233cfb82521127b995be81322,2022-11-17T00:00:00,1,421,13
66,471e811d4fdc83f0203ccd442230ff6c,2022-11-17T00:00:00,1,890,16
67,6c29385edbe9803d8341602415706b3c,2022-11-18T00:00:00,2,581,7
68,60f97ad84382652aba81505e66b6ee72,2022-11-18T00:00:00,2,450,9
69,bb5f79bbe865d1db6eddcb80ffe194ba,2022-11-19T00:00:00,1,330,0
70,4c8495b18035237b43a9b831a24b5f7b,2022-11-19T00:00:00,2,630,18
71,5dcab663044100f87d06ef872643250d,2022-11-20T00:00:00,0,730,4
72,2b8f2d2758d4b96677338e181a977c4f,2022-11-20T00:00:00,3,750,10
73,7d7fefb43bb66dfe296a694bc4ba8273,2022-11-20T00:00:00,0,211,4
74,c5e45e79535e7a8c59b3907d76990587,2022-11-20T00:00:00,0,930,21
75,3f559fa84fc3432400ac18497daacd2d,2022-11-20T00:00:00,0,541,16
76,a41afe9085d7e568875641c23d731f3c,2022-11-20T00:00:00,3,80,19
77,a48d9007e5eaeb3f128e804cb17b3554,2022-11-20T00:00:00,3,681,0
78,473afd2e2fe6777762d0e9129eca73eb,2022-11-20T00:00:00,1,981,10
79,49d30d1addaa8311d2c6c8d7372af758,2022-11-20T00:00:00,3,930,2
80,fcf1b98d7140595c01396c876d999d26,2022-11-20T00:00:00,3,140,10
81,218d572247ca636d74ebffaf85c4a46b,2022-11-20T00:00:00,3,511,17
82,9a563d77f6265963774598eff7cb1ece,2022-11-20T00:00:00,3,400,20
83,72f449229d595958ca523f03d9097d09,2022-11-20T00:00:00,2,570,15
84,10860404ec9f25c8503a899b44330140,2022-11-20T00:00:00,0,151,20
85,2b3e0c3a8f08e75669d921f611d61c24,2022-11-21T00:00:00,2,861,5
86,60b547c7358743e9f197921b64dbfa14,2022-11-21T00:00:00,1,141,18
87,0bd88a210a57ef2a16caefd17fcb82be,2022-11-21T00:00:00,1,461,16
88,f01caad531fb6b05b2c06b5264d83e1d,2022-11-21T00:00:00,3,351,4
89,8ac5129ae5ee92694ac2a38a0937a44e,2022-11-22T00:00:00,3,630,9
90,514109f20b1b9e5ae301824f98641d75,2022-11-22T00:00:00,2,231,18
91,6b4c2d736247fcc1ba8314d2daa58f25,2022-11-22T00:00:00,0,781,20
92,ea70c3c3eb4d5194b1ca4685b1ccd17b,2022-11-22T00:00:00,1,991,15
