date_id,category_id,geo_id,sales_qty,sales_amt
2022-12-07T00:00:00,1001,1,8,6248
2022-12-07T00:00:00,1001,2,3,2343
2022-12-07T00:00:00,1001,3,9,7029
2022-12-07T00:00:00,1002,1,7,5467
2022-12-07T00:00:00,1002,2,8,6248
2022-12-07T00:00:00,1002,3,5,3905
2022-12-07T00:00:00,1003,1,8,6248
2022-12-07T00:00:00,1003,2,2,1562
2022-12-07T00:00:00,1003,3,0,0
2022-12-07T00:00:00,1004,1,9,7029
2022-12-07T00:00:00,1004,2,1,781
2022-12-07T00:00:00,1004,3,3,2343
2022-12-07T00:00:00,1005,1,6,4686
2022-12-07T00:00:00,1005,2,5,3905
2022-12-07T00:00:00,1005,3,4,3124
2022-12-07T00:00:00,1006,1,5,3905
2022-12-07T00:00:00,1006,2,5,3905
2022-12-07T00:00:00,1006,3,1,781
2022-12-07T00:00:00,1007,1,9,7029
2022-12-07T00:00:00,1007,2,0,0
2022-12-07T00:00:00,1007,3,9,7029
2022-12-07T00:00:00,1008,1,2,1562
2022-12-07T00:00:00,1008,2,0,0
2022-12-07T00:00:00,1008,3,9,7029
2022-12-07T00:00:00,1009,1,1,781
2022-12-07T00:00:00,1009,2,6,4686
2022-12-07T00:00:00,1009,3,2,1562
2022-12-07T00:00:00,1010,1,6,4686
2022-12-07T00:00:00,1010,2,3,2343
2022-12-07T00:00:00,1010,3,9,7029
